customer_id,first_name,last_name,email,phone,date_of_birth,country,state,consent_marketing
C001,Ben,Edwards,ben.edwards@example.com,310-239-7211,1982-05-02,US,GA,True
C002,Farah,Nguyen,farah.nguyen@example.com,451-367-1027,1997-05-09,US,NC,False
C003,Cara,Lopez,cara.lopez@example.com,244-294-3329,1971-10-03,US,GA,False
C004,Sanjay,Li,sanjay.li@example.com,987-512-6627,1987-06-19,US,SC,False
C005,Ana,Ibrahim,ana.ibrahim@example.com,644-901-9823,1993-09-18,US,TN,False
C006,Quinn,Reed,quinn.reed@example.com,972-860-3973,1973-11-03,US,VA,False
C007,Farah,Garcia,farah.garcia@example.com,275-940-8483,1997-07-12,US,GA,True
C008,Glen,O'Neil,glen.o'neil@example.com,213-560-4754,1988-01-29,US,NC,False
C009,Priya,Uddin,priya.uddin@example.com,695-381-3519,1986-02-26,US,VA,False
C010,Ben,Lopez,ben.lopez@example.com,462-560-5455,1992-08-11,US,VA,True
C011,Devi,Patel,devi.patel@example.com,290-284-8097,1998-02-08,US,TN,False
C012,Cara,Norris,cara.norris@example.com,530-468-8741,1990-02-20,US,GA,False
C013,Leo,Lopez,leo.lopez@example.com,629-265-3359,1979-01-10,US,NC,True
C014,Yara,Martinez,yara.martinez@example.com,871-990-5770,1984-04-10,US,GA,True
C015,Rita,Garcia,rita.garcia@example.com,803-595-8080,1975-08-29,US,VA,True
C016,Leo,Kumar,leo.kumar@example.com,928-884-8391,1997-12-12,US,NC,True
C017,Quinn,Garcia,quinn.garcia@example.com,340-551-9194,1995-09-29,US,GA,True
C018,Sanjay,Garcia,sanjay.garcia@example.com,449-408-6276,1972-06-29,US,TN,True
C019,Glen,Martinez,glen.martinez@example.com,217-398-5395,1973-12-04,US,TN,False
C020,Cara,Garcia,cara.garcia@example.com,747-338-8929,1984-08-01,US,NC,False
C021,Wen,White,wen.white@example.com,548-605-4672,1975-04-28,US,TN,True
C022,Zane,Vasquez,zane.vasquez@example.com,551-912-3004,1983-04-21,US,VA,False
C023,Vik,Xu,vik.xu@example.com,988-659-6620,1977-07-31,US,SC,False
C024,Zane,Chan,zane.chan@example.com,471-379-7167,1981-02-05,US,NC,False
C025,Quinn,White,quinn.white@example.com,589-252-7363,1986-11-14,US,TN,False
C026,Hana,Quintero,hana.quintero@example.com,776-785-6636,1994-07-11,US,VA,False
C027,Kara,Chan,,876-708-3160,1972-06-26,US,VA,True
C028,Kara,Xu,kara.xu@example.com,812-232-8592,1991-06-30,US,GA,True
C029,Kara,Taylor,kara.taylor@example.com,264-459-5670,1985-03-09,US,GA,False
C030,Ben,Patel,BEN.PATEL@EXAMPLE.COM,402-247-5414,1997-01-08,US,TN,True
C031,Jae,Li,jae.li@example.com,489-740-2509,1991-11-19,US,TN,False
C032,Zane,Brown,zane.brown@example.com,850-601-7658,1986-04-17,US,NC,True
C033,Sanjay,Jones,sanjay.jones@example.com,565-357-9080,1978-03-26,US,SC,True
C034,Hana,Zimmer,hana.zimmer@example.com,226-211-7753,1989-08-22,US,NC,True
C035,Hana,Taylor,hana.taylor@example.com,915-498-4046,1980-08-23,US,GA,True
C036,Quinn,Lopez,quinn.lopez@example.com,677-430-7787,1993-07-27,US,VA,False
C037,Rita,Brown,rita.brown@example.com,708-243-5698,1995-11-29,US,NC,True
C038,Devi,Kumar,devi.kumar@example.com,829-217-8291,1980-11-08,US,GA,True
C039,Maya,Zimmer,MAYA.ZIMMER@EXAMPLE.COM,971-297-6322,1997-08-03,US,SC,False
C040,Farah,Jones,farah.jones@example.com,205-366-2414,1974-05-16,US,SC,True
C041,Omar,Jones,omar.jones@example.com,261-257-3485,1994-09-14,US,NC,True
C042,Vik,Chan,vik.chan@example.com,411-444-4852,1982-08-25,US,SC,True
C043,Vik,Lopez,vik.lopez@example.com,553-434-1997,1973-03-25,US,NC,True
C044,Jae,Davis,jae.davis@example.com,819-985-9898,1985-05-08,US,TN,False
C045,Leo,Quintero,leo.quintero@example.com,234-817-5740,1994-07-08,US,NC,False
C046,Quinn,Uddin,QUINN.UDDIN@EXAMPLE.COM,587-936-4009,1986-02-28,US,NC,True
C047,Maya,Quintero,maya.quintero@example.com,939-566-8002,1980-09-01,US,TN,True
C048,Maya,Lopez,maya.lopez@example.com,840-888-3643,1983-06-20,US,SC,True
C049,Eric,Sato,eric.sato@example.com,275-569-1930,1983-04-27,US,SC,False
C050,Nate,Singh,nate.singh@example.com,767-322-9764,1982-04-02,US,GA,False
C051,Omar,Davis,OMAR.DAVIS@EXAMPLE.COM,834-303-8224,1998-11-07,US,GA,True
C052,Eric,Ibrahim,ERIC.IBRAHIM@EXAMPLE.COM,204-627-3124,1973-11-19,US,SC,False
C053,Nate,Ali,nate.ali@example.com,512-266-1390,1990-05-22,US,VA,False
C054,Sanjay,Chan,sanjay.chan@example.com,392-517-6102,1997-09-18,US,GA,True
C055,Vik,Nguyen,vik.nguyen@example.com,404-637-4472,1985-05-31,US,NC,True
C056,Farah,Reed,FARAH.REED@EXAMPLE.COM,264-659-4110,1995-06-22,US,VA,False
C057,Cara,White,cara.white@example.com,243-747-6102,1978-02-12,US,NC,True
C058,Uma,Martinez,uma.martinez@example.com,621-948-8741,1982-05-22,US,SC,False
C059,Nate,Reed,nate.reed@example.com,421-355-3227,1993-07-13,US,TN,False
C060,Leo,Martinez,leo.martinez@example.com,620-388-9741,1993-07-07,US,TN,True
C061,Ana,Young,ana.young@example.com,732-977-2656,1993-04-29,US,SC,False
C062,Ana,Hughes,ana.hughes@example.com,582-863-5656,1997-01-04,US,TN,False
C063,Glen,Ali,GLEN.ALI@EXAMPLE.COM,299-702-7102,1993-08-07,US,SC,True
C064,Vik,Patel,vik.patel@example.com,339-718-2629,1987-08-22,US,TN,True
C065,Uma,Vasquez,uma.vasquez@example.com,819-846-7819,1997-01-02,US,GA,False
C066,Vik,Li,vik.li@example.com,929-254-9450,1975-12-03,US,GA,True
C067,Eric,Nguyen,eric.nguyen@example.com,902-608-3929,2000-12-31,US,SC,True
C068,Yara,Li,,359-483-6737,1988-03-18,US,VA,True
C069,Cara,Jones,cara.jones@example.com,605-526-1774,2000-06-15,US,VA,True
C070,Kara,Kumar,kara.kumar@example.com,930-561-6982,1979-02-20,US,TN,False
C071,Xiu,Uddin,xiu.uddin@example.com,881-439-1535,1993-04-06,US,VA,True
C072,Vik,White,vik.white@example.com,214-556-3048,1983-02-28,US,TN,False
C073,Vik,Singh,vik.singh@example.com,320-771-3105,1971-05-17,US,TN,False
C074,Quinn,Jones,quinn.jones@example.com,392-387-6719,1994-10-12,US,VA,False
C075,Devi,Ibrahim,devi.ibrahim@example.com,584-304-4210,1994-08-04,US,NC,False
C076,Farah,Brown,farah.brown@example.com,860-870-8348,1985-11-22,US,VA,True
C077,Nate,Chan,nate.chan@example.com,719-602-7167,1995-12-04,US,GA,False
C078,Leo,Singh,leo.singh@example.com,227-655-7419,1972-02-25,US,SC,False
C079,Kara,Sato,kara.sato@example.com,683-569-4709,2000-06-26,US,NC,False
C080,Eric,Brown,eric.brown@example.com,771-426-6114,1976-07-25,US,SC,False
C081,Priya,Vasquez,priya.vasquez@example.com,674-476-8149,1981-01-05,US,NC,False
C082,Omar,Rao,omar.rao@example.com,529-591-9689,1997-05-17,US,NC,True
C083,Wen,Jones,wen.jones@example.com,824-479-4851,1976-12-25,US,TN,True
C084,Wen,Jones,wen.jones@example.com,797-594-9973,1986-11-17,US,SC,True
C085,Leo,Sato,leo.sato@example.com,511-625-3531,1980-02-27,US,TN,True
C086,Tara,White,tara.white@example.com,808-250-6064,1997-02-27,US,SC,False
C087,Ana,Ali,ana.ali@example.com,881-365-6337,1979-04-24,US,NC,False
C088,Glen,Singh,glen.singh@example.com,376-296-9588,1993-05-22,US,SC,True
C089,Nate,Young,nate.young@example.com,374-661-3094,1996-02-20,US,VA,True
C090,Tara,Li,tara.li@example.com,815-363-3354,1981-03-20,US,VA,True
C091,Vik,O'Neil,vik.o'neil@example.com,362-742-3763,1996-05-16,US,NC,True
C092,Jae,Quintero,,936-984-7638,1992-09-23,US,SC,False
C093,Wen,Xu,wen.xu@example.com,775-504-5358,1976-03-08,US,TN,True
C094,Glen,Lopez,glen.lopez@example.com,619-725-5956,1973-06-12,US,SC,False
C095,Kara,Martinez,kara.martinez@example.com,298-978-8387,1975-11-04,US,GA,False
C096,Eric,Kumar,eric.kumar@example.com,509-319-9111,1982-12-19,US,GA,True
C097,Hana,Hughes,hana.hughes@example.com,473-787-9635,1971-05-06,US,GA,False
C098,Omar,Kumar,omar.kumar@example.com,383-864-6445,1986-06-13,US,SC,True
C099,Xiu,Vasquez,xiu.vasquez@example.com,464-786-7000,1997-02-27,US,VA,False
C100,Vik,Quintero,VIK.QUINTERO@EXAMPLE.COM,686-430-4761,1991-06-01,US,GA,False
C022,Zane,Vasquez,zane.vasquez@example.com,551-912-3004,1983-04-21,US,VA,False
C062,Ana,Hughes,ana.hughes@example.com,582-863-5656,1997-01-04,US,TN,False
C030,Ben,Patel,BEN.PATEL@EXAMPLE.COM,402-247-5414,1997-01-08,US,TN,True
C005,Ana,Ibrahim,ana.ibrahim@example.com,644-901-9823,1993-09-18,US,TN,False
C076,Farah,Brown,farah.brown@example.com,860-870-8348,1985-11-22,US,VA,True
